MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
11938699;17.25;474.6666667;Nacional;41621.34615;1825681.818;A;Tarjeta;Si;Si;No;R0;52;Soltero;10659.786;No
4342711.74;17.75;469.3333333;Nacional;33212.90385;916590.9091;B;Tarjeta;Si;No;No;R0;37.5;Soltero;0;No
4803769.46;17.75;468.3333333;Nacional;20059.41154;765075.7576;A;Tarjeta;No;No;No;R0;33.5;Soltero;5949.332;No
5816784.92;17.75;469.3333333;Nacional;24402.87692;916590.9091;A;Tarjeta;No;No;No;R0;32;Soltero;7369.91;No
2979835;17.25;474.6666667;Nacional;14148.43846;462045.4545;A;Tarjeta;Si;No;No;R0;42;Soltero;5857.692;No
4173151;17.25;475.3333333;Nacional;17754.57308;643863.6364;A;Tarjeta;No;No;No;R0;39;Soltero;4440.985;No
2299828.36;17.75;469.3333333;Nacional;12223.09231;371136.3636;A;Tarjeta;No;No;No;R0;38.5;Soltero;6499.33;No
3886107.22;17.25;474.6666667;Nacional;17097.80769;613560.6061;A;Tarjeta;No;No;No;R0;34;Soltero;8559.966;No
1986575.34;17.25;474.6666667;Nacional;11102.54615;310530.303;A;Tarjeta;No;No;Si;R2;34.5;Union;3936.096;No
5540317.16;12.25;474.6666667;Nacional;19346.14615;855984.8485;A;Tarjeta;Si;No;No;R0;33;Soltero;9275.548;No
2490809.98;17.75;470.3333333;Nacional;8636.273077;401439.3939;C;Tarjeta;No;No;No;R0;39;Union;6453.747;No
4670365;17.25;474.6666667;Nacional;19332.55;719621.2121;A;Tarjeta;Si;Si;Si;R5;35;Soltero;12368.003;No
2879099.6;14.5;468.3333333;Nacional;13506.56154;462045.4545;A;Tarjeta;No;No;No;R0;38.5;Soltero;6996.398;No
6952301;17.25;474.6666667;Nacional;48895.18462;1068106.061;B;Tarjeta;No;No;No;R0;32;Soltero;7697.839;No
4964945;17.25;474.6666667;Nacional;12089.66154;765075.7576;C;Tarjeta;No;No;Si;R1;38;Soltero;6072.098;No
8939661;17.25;474.6666667;Nacional;32424.61154;1371136.364;A;Tarjeta;No;No;No;R0;40.5;Soltero;12057.059;No
2977585;17.25;474.6666667;Nacional;14141.53846;462045.4545;A;Tarjeta;Si;Si;Si;R5;31.5;Soltero;4775.471;No
3162424.22;12.25;474.6666667;Nacional;13813.46154;492348.4848;A;Tarjeta;Si;No;No;R0;32.5;Soltero;4158.797;No
2381379;17.25;474.6666667;Nacional;12313.23462;371136.3636;A;Tarjeta;No;No;No;R0;38.5;Divorciado;3871.316;No
7515583.96;12.25;474.6666667;Nacional;25931.92308;1159015.152;A;Tarjeta;Si;No;No;R0;44;Soltero;21890.663;No
1983907;17.25;474.6666667;Nacional;11094.36154;310530.303;A;Tarjeta;No;No;No;R0;47.5;Divorciado;11222.108;No
2844287.64;17.25;468.3333333;Nacional;22828.84615;462045.4545;B;Tarjeta;Si;Si;No;R0;38.5;Soltero;0;No
5338070;12.75;470.6666667;Nacional;20173.84615;855984.8485;A;Tarjeta;No;No;No;R0;33.5;Soltero;0;No
2964557.4;12.25;474.6666667;Nacional;13262.69231;462045.4545;A;Tarjeta;Si;No;No;R0;35;Soltero;6584.334;No
4943283.34;12.25;474.6666667;Nacional;18771.15385;765075.7576;A;Tarjeta;No;No;Si;R1;31;Soltero;5217.081;No
3975544.86;17.25;474.6666667;Nacional;17201.84231;613560.6061;A;Tarjeta;Si;No;No;R0;32;Soltero;3671.051;No
4597564.52;17.75;470.6666667;Nacional;19434.24231;734772.7273;A;Tarjeta;Si;Si;Si;R1;47;Divorciado;6674.315;No
1916607.44;17.25;470.6666667;Nacional;10940.55769;310530.303;A;Tarjeta;No;No;Si;R1;36;Soltero;0;No
3110040.1;17.75;471;Nacional;14708.33077;492348.4848;A;Tarjeta;No;No;No;R0;34.5;Soltero;5890.556;No
3327412.34;17.75;470.6666667;Nacional;15449.09615;533560.6061;A;Tarjeta;No;No;No;R0;34;Soltero;3992.423;No
4412886.16;17.25;470.6666667;Nacional;18664.04231;704469.697;A;Tarjeta;No;No;No;R0;37;Soltero;0;No
3929163.72;12.25;474.6666667;Nacional;16007.30769;613560.6061;A;Tarjeta;No;No;No;R0;33.5;Soltero;6878.53;No
3813480.94;17.75;471;Nacional;17562.85;643863.6364;A;Tarjeta;No;No;No;R0;40.5;Soltero;0;No
3160044.24;17.75;471;Nacional;14924.05385;507500;A;Tarjeta;No;No;No;R0;34;Soltero;0;No
2912740.7;17.75;471.3333333;Nacional;14054.87692;462045.4545;A;Tarjeta;Si;No;No;R0;38.5;Soltero;12754.629;No
5708890.4;12.75;471;Nacional;21206.92308;916590.9091;A;Tarjeta;No;No;No;R0;34;Soltero;0;No
6543545.9;17.25;474.6666667;Nacional;25076.77692;1007500;A;Tarjeta;Si;No;No;R0;35;Soltero;5081.201;No
3841084.94;12.75;471;Nacional;15808.84615;613560.6061;A;Tarjeta;No;No;No;R0;32;Soltero;5985.751;No
1913826.42;17.75;471;Nacional;11014.61538;310530.303;A;Tarjeta;No;No;No;R0;36.5;Soltero;0;No
8273515.46;17.25;474.6666667;Nacional;57583.58462;1280227.273;B;Tarjeta;Si;No;No;R0;32;Soltero;7822.106;No
3964425.6;17.25;474.6666667;Nacional;17167.74615;613560.6061;A;Tarjeta;No;No;No;R0;32.5;Soltero;4272.952;No
